school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason_home,reason_reputation,reason_course,reason_other,guardian_mother,guardian_father,guardian_other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,grade_avg,grade_improvement
1,0,18,1,1,0,4,4,0,1,0,0,1,0,1,0,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,7.3,11
1,0,17,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,10.3,2
1,0,15,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12.3,0
1,0,15,1,1,1,4,2,1,1,1,0,0,0,1,0,0,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14.0,0
1,0,16,1,1,1,3,3,1,1,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,12.3,2
1,1,16,1,0,1,4,3,1,1,0,1,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12.3,1
1,1,16,1,0,1,2,2,1,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12.7,0
1,0,17,1,1,0,4,4,1,1,1,0,0,0,1,0,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,12.0,3
1,1,15,1,0,0,3,2,1,1,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,16.0,2
1,1,15,1,1,1,3,4,1,1,1,0,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12.3,1
1,0,15,1,1,1,4,4,1,1,0,1,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14.0,0
1,0,15,1,1,1,2,1,1,1,0,1,0,0,0,1,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,11.7,3
1,1,15,1,0,1,4,4,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12.3,0
1,1,15,1,1,1,4,3,1,1,0,0,1,0,1,0,0,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12.3,1
1,1,15,1,1,0,2,2,1,1,1,0,0,0,0,0,1,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14.3,1
1,0,16,1,1,1,4,4,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17.0,0
1,0,16,1,1,1,4,4,1,1,0,1,0,0,1,0,0,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13.3,1
1,0,16,1,1,1,3,3,1,1,0,1,0,0,1,0,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13.7,1
1,1,17,1,1,1,3,2,1,1,0,0,1,0,1,0,0,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,7.7,-1
1,1,16,1,0,1,4,3,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12.0,0
1,1,15,1,1,1,4,3,1,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13.0,2
1,1,15,1,1,1,4,4,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,11.7,1
1,1,16,1,0,1,4,2,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,13.0,2
1,1,16,1,0,1,2,2,1,1,0,1,0,0,1,0,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10.0,0
1,0,15,0,1,1,2,4,1,1,0,0,1,0,1,0,0,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10.3,0
1,0,16,1,1,1,2,2,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,11.0,2
1,1,15,1,1,1,2,2,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11.7,1
1,1,15,1,1,1,4,2,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,11.0,0
1,1,16,1,0,0,3,4,1,1,1,0,0,0,1,0,0,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12.3,1
1,1,16,1,1,1,4,4,1,1,1,0,0,0,1,0,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,4,11.7,0
1,1,15,1,1,1,4,4,1,1,1,0,0,0,1,0,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10.7,1
1,1,15,1,1,1,4,4,1,1,0,1,0,0,1,0,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,15.0,0
1,1,15,0,1,1,4,3,1,0,0,0,1,0,1,0,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,14.0,2
1,1,15,1,0,1,3,3,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,12.3,-1
1,1,16,1,1,1,3,2,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,12.0,0
1,0,15,1,1,1,2,3,1,1,0,0,0,1,0,1,0,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,11.0,0
1,1,15,1,0,1,4,3,1,1,1,0,0,0,1,0,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14.0,0
1,1,16,0,1,0,4,4,1,1,0,1,0,0,1,0,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,4,13.0,0
1,0,15,0,1,1,3,4,1,1,0,0,1,0,1,0,0,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,11.7,1
1,0,15,0,1,1,2,2,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,4,3,1,1,1,2,8,13.0,-2
1,0,16,1,0,1,2,2,1,1,1,0,0,0,1,0,0,2,2,0,0,1,0,1,0,1,1,1,3,3,3,1,2,3,16,10.7,-1
1,1,15,1,0,1,4,4,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,10.7,1
1,1,15,1,1,1,4,4,1,1,0,0,1,0,0,1,0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,14.7,1
1,1,15,1,1,1,2,2,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9.7,1
1,0,16,1,0,1,2,2,1,0,0,0,1,0,0,1,0,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10.7,1
1,0,15,1,0,0,4,3,1,1,0,0,1,0,1,0,0,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,4,10.7,1
1,0,16,1,0,0,3,3,1,1,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,6,12.7,0
1,1,16,1,1,1,4,3,1,1,0,1,0,0,1,0,0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,2,17.0,0
1,1,15,1,1,1,4,2,1,1,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,12.0,2
1,0,15,1,1,1,4,4,1,1,0,0,0,1,0,1,0,1,2,0,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,12.3,-1
1,0,16,1,0,1,2,2,1,1,0,0,1,0,1,0,0,3,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,4,0,13.3,-1
1,0,15,1,0,1,4,2,1,1,0,0,0,1,1,0,0,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,15.3,0
1,1,15,1,0,0,4,2,1,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,1,0,0,5,5,5,3,4,5,4,9.3,-1
1,0,15,1,1,1,4,4,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,12.3,-1
1,0,15,1,0,0,3,3,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,12.7,0
1,0,16,1,1,0,2,1,1,1,0,0,0,1,1,0,0,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12.3,0
1,0,15,1,1,0,4,3,1,1,0,1,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,14.7,0
1,1,15,1,1,1,4,4,1,1,0,1,0,0,1,0,0,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,15.3,1
1,1,15,1,0,1,1,2,1,0,1,0,0,0,0,1,0,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,0,13.7,0
1,0,16,1,1,1,4,2,1,1,0,0,1,0,1,0,0,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,15.7,0
1,0,16,0,1,1,4,4,1,1,0,0,0,1,1,0,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,0,16.3,-1
1,0,16,1,1,1,1,1,1,1,0,0,1,0,0,1,0,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,0,12.0,6
1,0,16,1,0,1,1,2,1,1,0,1,0,0,0,1,0,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,0,12.0,-3
1,0,16,1,1,1,4,3,1,1,1,0,0,0,1,0,0,1,3,0,1,1,0,1,1,1,1,0,3,4,4,2,4,4,0,13.3,-1
1,0,15,1,0,1,4,3,1,1,0,1,0,0,0,1,0,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,12.3,-1
1,0,16,1,0,1,4,3,1,1,0,0,1,0,1,0,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,15.7,0
1,1,15,1,1,0,4,4,1,1,0,1,0,0,1,0,0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,11.7,1
1,0,16,1,1,1,3,1,1,1,0,0,1,0,1,0,0,1,4,0,1,1,0,0,1,1,1,0,4,3,3,1,2,5,0,9.7,0
1,0,15,0,0,1,2,2,1,1,0,1,0,0,1,0,0,2,2,0,1,1,0,0,1,1,1,0,4,1,3,1,3,4,0,10.7,0
1,0,15,0,0,1,3,1,1,1,0,1,0,0,0,1,0,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,15.0,0
1,1,16,1,1,1,3,1,1,1,0,1,0,0,0,1,0,2,4,0,0,1,0,0,1,1,1,0,4,3,2,1,1,5,2,11.7,-2
1,1,15,1,1,1,4,2,1,1,0,0,1,0,1,0,0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10.0,-1
1,0,15,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,11.7,-2
1,1,16,1,1,1,3,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,13.3,1
1,0,16,1,1,1,3,3,1,1,1,0,0,0,1,0,0,1,2,0,1,1,0,1,1,1,1,0,4,3,3,2,4,5,4,11.0,0
1,1,15,1,1,1,4,3,1,1,1,0,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,11.0,0
1,1,15,1,1,1,4,0,1,1,0,0,1,0,1,0,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,0,11.3,-1
1,0,16,1,1,1,2,2,1,1,0,1,0,0,1,0,0,1,4,0,0,0,0,0,1,1,1,1,5,2,3,1,3,3,1,13.0,0
1,1,17,1,1,1,2,1,1,1,1,0,0,0,1,0,0,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,0,9.3,1
1,0,16,1,1,1,3,4,0,1,0,0,1,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,14,11.3,-1
1,1,15,1,1,1,2,3,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,3,2,2,1,3,3,0,11.3,1
1,1,15,1,1,1,2,3,1,1,1,0,0,0,1,0,0,1,3,0,1,0,0,0,0,1,1,0,5,3,2,1,2,5,2,9.3,-1
1,0,15,1,0,1,3,2,1,1,0,1,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4,11.3,-1
1,1,15,1,0,1,2,2,1,1,1,0,0,0,1,0,0,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,2,12.7,0
1,0,15,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,12.3,-1
1,0,15,1,1,1,4,4,1,1,0,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4,11.7,0
1,0,16,1,0,1,2,2,0,1,0,0,1,0,1,0,0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,6,11.7,-2
1,0,15,1,1,1,4,2,1,1,0,1,0,0,1,0,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,15.0,0
1,1,16,1,1,1,2,2,1,1,0,1,0,0,0,1,0,2,2,0,0,0,0,1,0,1,1,0,4,4,2,1,1,3,6,11.0,-1
1,1,16,1,0,0,4,4,1,1,0,1,0,0,1,0,0,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,6,9.3,1
1,0,16,1,1,1,3,3,1,1,1,0,0,0,1,0,0,1,3,0,0,1,0,0,1,1,1,1,4,3,3,1,3,4,2,10.3,2
1,0,15,1,1,1,4,3,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6,13.3,-1
1,0,16,1,0,1,3,1,1,1,1,0,0,0,0,1,0,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,0,12.3,0
1,0,16,1,1,1,4,2,1,1,1,0,0,0,1,0,0,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,2,13.7,1
1,1,15,1,0,1,2,2,1,1,0,1,0,0,1,0,0,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,2,11.7,1
1,0,15,0,1,1,1,1,0,1,1,0,0,0,1,0,0,2,4,0,1,1,1,1,1,1,1,0,3,1,2,1,1,1,4,13.0,0
1,1,16,0,1,1,4,3,1,1,0,1,0,0,1,0,0,2,1,0,1,1,1,1,0,1,1,0,3,3,3,1,1,4,6,10.3,2
1,0,16,1,1,1,2,1,1,1,0,0,1,0,1,0,0,1,2,0,0,1,0,0,1,1,0,1,4,3,5,1,1,5,0,12.3,-1
1,0,16,1,1,1,4,4,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4,12.7,1
1,0,16,1,1,1,4,3,1,0,0,0,1,0,1,0,0,1,3,0,1,1,0,0,1,1,1,0,5,3,5,1,1,3,2,12.7,1
1,1,16,1,1,1,4,4,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,4,5,5,5,5,4,12,8.7,-1
1,1,16,1,1,1,4,4,1,1,0,0,0,1,0,1,0,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16.0,0
1,1,15,1,1,1,4,4,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,5,3,3,1,1,5,2,12.3,0
1,0,15,1,1,1,3,2,1,1,1,0,0,0,1,0,0,2,2,0,1,1,0,0,1,1,1,0,4,3,5,1,1,2,16,10.3,-1
1,1,15,1,1,0,3,4,1,1,0,0,1,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,1,1,0,16.0,0
1,0,15,1,1,0,3,3,1,1,0,1,0,0,0,1,0,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10.0,0
1,0,15,1,1,1,2,2,1,1,0,0,1,0,1,0,0,1,4,0,1,1,0,0,1,1,1,0,5,1,2,1,1,3,4,10.0,0
1,1,16,1,1,1,3,3,1,1,1,0,0,0,0,1,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,13.7,1
1,1,15,0,1,1,4,4,1,1,1,0,0,0,0,1,0,4,4,0,0,1,0,1,1,1,1,1,1,3,5,3,5,1,8,11.0,-1
1,0,16,1,0,1,4,4,1,1,0,0,0,1,1,0,0,1,3,0,0,1,0,1,1,1,1,1,5,4,5,1,1,4,2,14.7,-1
1,1,15,1,0,0,4,4,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,4,13.7,1
1,0,16,0,1,1,3,3,1,1,0,1,0,0,0,1,0,1,3,0,1,1,0,1,1,1,1,0,4,1,2,1,1,2,4,11.0,0
1,0,16,1,1,1,2,2,0,1,1,0,0,0,1,0,0,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,12,9.3,2
1,1,15,1,0,1,4,2,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,17.7,0
1,1,15,0,1,1,2,1,1,1,0,1,0,0,1,0,0,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,9.7,0
1,1,16,1,1,1,4,4,1,1,0,0,1,0,0,1,0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6,14.7,-2
1,1,15,1,1,1,4,4,1,1,0,1,0,0,0,1,0,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,4,15.7,0
1,1,16,1,1,1,3,3,1,1,1,0,0,0,0,1,0,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,14.3,1
1,1,17,0,1,1,1,3,1,1,0,0,1,0,0,1,0,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,14,11.3,-1
1,1,15,1,1,1,3,4,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,13.7,0
1,0,15,1,1,1,1,2,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0,14.0,0
1,1,15,1,1,1,2,2,1,1,1,0,0,0,0,1,0,1,4,0,0,1,0,1,1,1,1,0,5,5,4,1,2,5,6,13.3,-1
1,0,16,1,0,1,2,4,1,1,0,0,1,0,0,1,0,2,2,0,0,1,0,1,1,1,1,1,4,2,2,1,2,5,2,13.0,-1
1,1,16,1,1,1,4,4,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,4,12.7,1
1,0,16,1,1,1,2,2,1,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0,11.3,-1
1,1,15,1,1,1,3,4,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,2,9.0,0
1,0,15,1,0,0,3,4,1,1,1,0,0,0,1,0,0,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,10.7,1
1,0,19,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,2,2,0,1,0,0,0,0,0,0,3,4,2,1,1,5,0,10.0,2
1,1,16,0,1,1,4,4,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8,14.3,1
1,1,16,1,1,1,2,3,1,1,0,0,1,0,1,0,0,2,3,0,0,1,0,0,0,1,1,1,3,2,3,2,2,1,4,12.7,0
1,0,15,0,1,1,3,4,1,1,0,0,1,0,0,1,0,2,3,0,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,11.0,2
1,0,18,1,1,1,2,1,1,1,0,1,0,0,1,0,0,1,2,3,0,1,0,1,1,0,1,1,5,4,5,1,3,5,10,9.0,-2
1,0,17,1,0,0,2,1,1,1,0,0,1,0,1,0,0,3,1,0,0,1,0,0,1,1,1,0,3,2,2,1,2,5,8,10.7,0
1,0,15,1,1,1,1,1,0,1,0,0,1,0,1,0,0,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,6,12.0,2
1,0,17,1,0,1,2,2,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,2,12.3,-1
1,0,16,1,1,0,3,4,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,12,14.0,-1
1,1,16,1,1,1,2,1,0,1,0,0,1,0,1,0,0,4,1,0,0,0,0,0,1,1,0,0,3,2,1,1,1,2,4,9.7,2
1,0,16,1,1,0,2,2,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,5,3,4,1,1,5,12,11.7,-2
1,1,15,0,1,1,3,4,0,1,0,0,1,0,1,0,0,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,2,11.3,-1
1,0,15,1,1,1,4,4,1,0,0,0,1,0,1,0,0,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,4,14.0,2
1,1,17,0,1,1,3,4,0,1,0,0,1,0,1,0,0,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,9.7,0
1,0,16,0,1,1,1,1,0,1,0,0,1,0,1,0,0,4,2,0,0,1,0,0,1,1,0,0,5,1,3,1,1,3,0,13.3,-1
1,1,18,1,0,1,3,1,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2,11.3,1
1,0,18,1,1,0,3,2,1,1,0,0,1,0,0,0,1,1,3,0,0,1,0,1,0,1,1,1,4,3,3,5,1,5,10,11.3,-1
1,0,16,0,1,1,1,1,1,1,0,1,0,0,1,0,0,2,1,0,0,1,0,1,1,1,0,1,3,3,3,1,2,1,8,11.3,-1
1,0,16,1,1,0,3,3,1,1,0,0,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,1,4,3,2,1,1,5,4,9.3,1
1,1,16,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,2,2,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,10.0,0
1,0,15,1,1,1,4,4,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,6,13.7,1
1,0,15,0,1,1,1,1,1,1,0,0,1,0,1,0,0,3,1,1,0,0,0,1,1,1,1,1,5,5,5,1,1,1,2,8.7,1
1,1,15,1,1,1,4,3,1,1,0,0,1,0,0,1,0,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,6,10.3,2
1,0,15,1,1,0,3,3,1,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,1,3,2,2,3,1,24,8.7,0
1,1,16,1,1,1,4,4,1,1,0,0,1,0,1,0,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,5,0,13.7,-2
1,1,16,1,0,1,2,2,1,1,0,1,0,0,0,1,0,2,1,0,0,1,0,1,1,1,1,0,2,3,3,2,2,2,4,11.3,-1
1,0,15,1,1,1,4,4,1,1,0,0,1,0,1,0,0,1,3,0,0,1,0,1,1,1,1,0,4,2,2,1,1,5,2,13.0,0
1,0,16,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,4,10.7,1
1,1,17,1,1,1,2,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,5,4,5,1,2,5,22,7.3,-3
1,0,15,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,2,0,0,1,0,0,1,1,1,0,4,4,2,1,2,5,0,12.0,0
1,0,15,1,0,0,2,1,0,1,1,0,0,0,1,0,0,2,1,0,0,1,0,1,1,0,1,1,4,4,2,1,1,5,0,10.3,-1
